"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 03 11:49:22 CST 2021","Thu Jun 03 11:49:22 CST 2021","0","test_case","test_order_management","TestAdhocOrder","","","身份证为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","商品数量为空",""
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","56","test_case","test_order_management","TestAdhocOrder","","","地址ID为空",""
"passed","Thu Jun 03 11:48:59 CST 2021","Thu Jun 03 11:49:00 CST 2021","199","test_case","test_material_management","TestPackagingOrder","","","仓库未选择",""
"passed","Thu Jun 03 11:49:11 CST 2021","Thu Jun 03 11:49:11 CST 2021","82","test_case","test_order_management","TestAdhocOrder","","","性别为空",""
"broken","Thu Jun 03 11:49:22 CST 2021","Thu Jun 03 11:49:22 CST 2021","1","test_case","test_order_management","TestAdhocOrder","","","身份证错误",""
"passed","Thu Jun 03 11:49:08 CST 2021","Thu Jun 03 11:49:08 CST 2021","120","test_case","test_order_management","TestAdhocOrder","","","重复拒绝",""
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","249","test_case","test_order_management","TestAdhocOrder","","","收货地区为空",""
"passed","Thu Jun 03 11:49:08 CST 2021","Thu Jun 03 11:49:08 CST 2021","59","test_case","test_order_management","TestAdhocOrder","","","拒绝原因为空",""
"passed","Thu Jun 03 11:49:20 CST 2021","Thu Jun 03 11:49:20 CST 2021","81","test_case","test_order_management","TestAdhocOrder","","","收件人名字为空",""
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","50","test_case","test_order_management","TestAdhocOrder","","","详细地址为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","重复关闭订单",""
"passed","Thu Jun 03 11:48:48 CST 2021","Thu Jun 03 11:48:48 CST 2021","290","test_case","test_material_management","TestGoods","","","型号为空","型号为空"
"passed","Thu Jun 03 11:48:47 CST 2021","Thu Jun 03 11:48:47 CST 2021","90","test_case","test_material_management","TestGoods","","","产地为空","产地为空"
"passed","Thu Jun 03 11:49:19 CST 2021","Thu Jun 03 11:49:19 CST 2021","125","test_case","test_order_management","TestAdhocOrder","","","收件人名字为空",""
"passed","Thu Jun 03 11:48:46 CST 2021","Thu Jun 03 11:48:46 CST 2021","76","test_case","test_material_management","TestGoods","","","skuCode为空","skuCode为空"
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","236","test_case","test_order_management","TestAdhocOrder","","","手机号为空",""
